Esp	Prov	ID	Brout	Stress	Bloc
CHR	2080	12	1	0	3
CHR	2080	17	0	0	3
CHR	2080	19	0	2	3
CHR	2080	2	1	2	3
ERS	2018	7	1	0	3
ERS	2018	8	1	1	3
ERS	2018	9	1	2	3
ERS	2018	22	0	0	3
ERS	2018	23	0	1	3
ERS	2018	24	0	2	3
PIB	2018	22	0	0	3
PIB	2018	23	0	1	3
PIB	2018	24	0	2	3
PIB	2018	7	1	0	3
PIB	2018	8	1	1	3
PIB	2018	9	1	2	3
PIB	2050	10	1	1	3
PIB	2050	11	1	2	3
PIB	2050	22	0	0	3
PIB	2050	23	0	1	3
PIB	2050	24	0	2	3
PIB	2050	9	1	0	3
PIB	2080	1	1	0	3
PIB	2080	2	1	1	3
PIB	2080	27	0	1	3
PIB	2080	28	0	2	3
PIB	2080	3	1	2	3
THO	2018	10	1	0	3
THO	2018	11	1	1	3
THO	2018	12	1	2	3
THO	2018	17	0	0	3
THO	2018	18	0	1	3
THO	2018	19	0	2	3
THO	2050	1	1	0	3
THO	2050	2	1	1	3
THO	2050	27	0	0	3
THO	2050	28	0	1	3
THO	2050	29	0	2	3
THO	2050	3	1	2	3
THO	2080	22	0	0	3
THO	2080	23	0	1	3
THO	2080	24	0	2	3
THO	2080	7	1	0	3
THO	2080	8	1	1	3
THO	2080	9	1	2	3
CET	2018	26	0	0	4
CET	2018	27	0	2	4
CET	2018	6	1	0	4
CET	2018	8	1	2	4
CET	2050	1	1	0	4
CET	2050	13	1	0	4
CET	2050	14	1	2	4
CET	2050	16	0	0	4
CET	2050	19	0	2	4
CET	2050	4	1	2	4
CET	2080	15	0	0	4
CET	2080	16	0	2	4
CET	2080	26	0	0	4
CET	2080	27	0	2	4
CET	2080	5	1	0	4
CET	2080	6	1	2	4
CHR	2018	17	0	0	4
CHR	2018	18	0	2	4
CHR	2018	7	1	0	4
CHR	2018	8	1	2	4
CHR	2050	21	0	0	4
CHR	2050	22	0	2	4
CHR	2050	7	1	0	4
CHR	2050	8	1	2	4
CHR	2080	20	0	0	4
CHR	2080	21	0	2	4
CHR	2080	3	1	0	4
CHR	2080	4	1	2	4
ERS	2018	10	1	0	4
ERS	2018	12	1	2	4
ERS	2018	25	0	0	4
ERS	2018	26	0	1	4
ERS	2018	27	0	2	4
PIB	2018	10	1	0	4
PIB	2018	11	1	1	4
PIB	2018	12	1	2	4
PIB	2018	25	0	0	4
PIB	2018	26	0	1	4
PIB	2018	27	0	2	4
PIB	2050	12	1	0	4
PIB	2050	13	1	1	4
PIB	2050	14	1	2	4
PIB	2050	25	0	0	4
PIB	2050	26	0	1	4
PIB	2050	27	0	2	4
PIB	2080	15	0	0	4
PIB	2080	16	0	1	4
PIB	2080	17	0	2	4
PIB	2080	5	1	0	4
PIB	2080	6	1	1	4
PIB	2080	7	1	2	4
THO	2018	13	1	2	4
THO	2018	20	0	0	4
THO	2018	21	0	1	4
THO	2018	22	0	2	4
THO	2050	15	0	0	4
THO	2050	16	0	1	4
THO	2050	17	0	2	4
THO	2050	4	1	0	4
THO	2050	5	1	1	4
THO	2050	6	1	2	4
THO	2080	10	1	0	4
THO	2080	11	1	1	4
THO	2080	12	1	2	4
THO	2080	25	0	0	4
THO	2080	26	0	1	4
THO	2080	27	0	2	4
CET	2018	10	1	2	5
CET	2018	17	0	0	5
CET	2018	18	0	2	5
CET	2018	28	0	0	5
CET	2018	29	0	2	5
CET	2018	9	1	0	5
CET	2050	20	0	0	5
CET	2050	21	0	2	5
CET	2050	5	1	0	5
CET	2050	6	1	2	5
CET	2080	17	0	0	5
CET	2080	18	0	2	5
CET	2080	28	0	2	5
CET	2080	7	1	0	5
CET	2080	8	1	2	5
CHR	2018	10	1	2	5
CHR	2018	19	0	0	5
CHR	2018	20	0	2	5
CHR	2018	9	1	0	5
CHR	2050	10	1	2	5
CHR	2050	13	0	0	5
CHR	2050	14	0	2	5
CHR	2050	23	0	0	5
CHR	2050	24	0	2	5
CHR	2050	9	1	0	5
CHR	2080	22	0	0	5
CHR	2080	23	0	2	5
CHR	2080	6	1	0	5
CHR	2080	7	1	2	5
ERS	2018	13	1	0	5
ERS	2018	14	1	1	5
ERS	2018	15	1	2	5
ERS	2018	28	0	0	5
ERS	2018	29	0	1	5
ERS	2018	30	0	2	5
PIB	2018	13	1	0	5
PIB	2018	14	1	1	5
PIB	2018	15	1	2	5
PIB	2018	28	0	0	5
PIB	2018	29	0	1	5
PIB	2018	30	0	2	5
PIB	2050	15	1	0	5
PIB	2050	28	0	0	5
PIB	2050	29	0	1	5
PIB	2050	30	0	2	5
PIB	2080	10	1	1	5
PIB	2080	11	1	2	5
PIB	2080	18	0	0	5
PIB	2080	19	0	1	5
PIB	2080	20	0	2	5
PIB	2080	9	1	0	5
THO	2018	1	1	0	5
THO	2018	2	1	1	5
THO	2018	23	0	0	5
THO	2018	24	0	1	5
THO	2018	25	0	2	5
THO	2018	3	1	2	5
THO	2050	18	0	0	5
THO	2050	19	0	1	5
THO	2050	20	0	2	5
THO	2050	7	1	0	5
THO	2050	8	1	1	5
THO	2050	9	1	2	5
THO	2080	13	1	0	5
THO	2080	14	1	1	5
THO	2080	15	1	2	5
THO	2080	28	0	0	5
THO	2080	29	0	1	5
THO	2080	30	0	2	5
ERS	2018	11	1	1	f
					
